,accuracy,precision,recall,f1
category_4,0.7057697444466665,0.8493013690718758,0.7385541606832128,0.7900651017973359
category_16,0.6771265423648899,0.7971686110481594,0.7035605233042683,0.7474385752361596
category_7,0.5766465012575454,0.5258183628732984,0.6994699858559195,0.600328819271925
category_19,0.6204752192887396,0.5469124191001627,0.6908459869848156,0.6104949768344532
category_1,0.6142086221285933,0.48426688291483966,0.6955718623481781,0.5709762830217981
