,valid_accuracy,valid_precision,valid_recall,valid_f1,test_accuracy,test_precision,test_recall,test_f1
24852,0.7834420996933301,0.36757557486023956,0.6281756077703003,0.463774513487114,0.7838163426627643,0.36759828046604637,0.6248549736408231,0.46288449939686366
13176,0.7909827282434091,0.31651487126657457,0.641820570035924,0.4239554259311527,0.7909397251087472,0.31643056483383386,0.6416706758159674,0.42384709625894285
21137,0.7987281827198986,0.23425692695214106,0.6201124920620521,0.34005347926123997,0.7984166215291527,0.23373972602739726,0.6191780821917808,0.33936802327026827
21903,0.7876277554302578,0.2076660904732396,0.6324088098726194,0.3126622758828115,0.7874834811871394,0.20691682562909927,0.6291889314872569,0.3114193995585423
47209,0.8096617148102421,0.21535201772127516,0.6959818902093945,0.3289268687354984,0.8087929394307667,0.21430017522671266,0.6948953027730617,0.32757792741358893
47766,0.8250729692362838,0.1924995345282076,0.6664404939611888,0.2987158139640975,0.8236010784452061,0.19231514268667818,0.6736327859953861,0.29920918121323176
47626,0.8258998590873488,0.16430240829184026,0.6284836941734364,0.26050250932437546,0.8259178846209283,0.16432119541799795,0.6285216742334723,0.26052938560591904
16797,0.834090999607417,0.15219889043299376,0.5816987997156121,0.2412704470155597,0.8344871847391203,0.15325207523379217,0.5855665964067048,0.24292644333867713
26209,0.8410873222234234,0.16909304341148204,0.6568226370067332,0.26894788731165536,0.8407806438202571,0.16897683989317455,0.6579162689213146,0.2688923413475271
27845,0.8274170881718718,0.14699514125581445,0.6209628008752736,0.23771748326729605,0.8267736008508612,0.14585332759704803,0.6171970731365752,0.23594836412792528
