,accuracy,precision,recall,f1
category_4,0.7358138712605395,0.8287245197506508,0.8163301711330874,0.8224503061959018
category_16,0.6977286901303212,0.7838068573180168,0.7662043707394535,0.7748809839820241
category_7,0.5387294876469952,0.4956819352264529,0.8441262513522251,0.6245868366263103
category_19,0.5821753082767386,0.5096703039172334,0.7775921908893709,0.6157475565952253
category_1,0.5724439067292737,0.45413956738991407,0.7842611336032389,0.5751905877242217
