,accuracy,precision,recall,f1
category_4,0.772647480186586,0.8008088166940756,0.9274191024342244,0.8594700080643614
category_16,0.7116720978447599,0.719293245357947,0.9436964944339652,0.8163490805563297
category_7,0.4545743211143673,0.4545743211143673,1.0,0.6250272871648376
category_19,0.4350648217784848,0.4323942022353222,0.9982863340563991,0.603423550419054
category_1,0.37533155857382317,0.3711958304241795,0.9974949392712549,0.5410389080672733
