,valid_accuracy,valid_precision,valid_recall,valid_f1,test_accuracy,test_precision,test_recall,test_f1
24852,0.7443810369122871,0.3327995618708591,0.7112089254137672,0.4534254685839883,0.7446916007810687,0.3326913242751112,0.7084613975452381,0.45276539283310074
13176,0.7506415034222998,0.2854126341720922,0.7187326908164395,0.4085770962561794,0.7510396800470948,0.28555373566838854,0.7173549742992429,0.40849858152704827
21137,0.7591872962408753,0.2124414530062797,0.6943663249569083,0.3253439032554581,0.7591371224569373,0.21300116863192525,0.6977773745804228,0.32637439109255395
21903,0.7431938051536479,0.18810037440413352,0.7123134606311922,0.29761077278999076,0.7420622457695908,0.18697847184074917,0.7099580858544725,0.2960005963078605
47209,0.7759602637702764,0.19655174941539544,0.7587153367289191,0.3122201715213936,0.775274352637017,0.19561079320826769,0.7560384833050368,0.31080628350208456
47766,0.7869829330693354,0.17048645638598306,0.7270660876645406,0.276206494351757,0.7859192197810034,0.17103062660532511,0.7355407789387977,0.2775291599676399
47626,0.7894920506678653,0.14703325633956735,0.6903253391378708,0.2424308607933605,0.7897820806345651,0.14777467325238025,0.6940419180297283,0.24366784575745665
16797,0.7893156727867895,0.13190562245604553,0.6532558236794781,0.21949145992735142,0.7891311900979674,0.13249204980326632,0.657934357121349,0.22056720485887174
26209,0.8164209703817917,0.15546743593839563,0.7050626438251086,0.25475990668812126,0.8162910770341847,0.15553102661140145,0.7061570980499113,0.25491668102493414
27845,0.7751238912374331,0.1259865901880187,0.7055579868708971,0.2137969446212603,0.7753335245039804,0.1263085485585642,0.7071386058887372,0.214333087497944
